2A_element_perfect,2F_element_perfect,2Lo_element_perfect,2Lz_element_perfect,2S_element_perfect,2T_element_perfect,3A_element_perfect,3F_element_perfect,3Lo_element_perfect,3Lz_element_perfect,3S_element_perfect,3T_element_perfect,4F_element_perfect,4Lo_element_perfect,4Lz_element_perfect,4S_element_perfect,4T_element_perfect,A_element_perfect,CCSp2_element_perfect,CCSp3_element_perfect,CCSp4_element_perfect,CCSpB_element_perfect,CCSp_element_perfect,CCoSp2_element_perfect,CCoSp3_element_perfect,CCoSp4_element_perfect,CCoSpB_element_perfect,CCoSp_element_perfect,CSSp2_element_perfect,CSSp3_element_perfect,CSSp4_element_perfect,CSSpB_element_perfect,CSSp_element_perfect,CSp2_element_perfect,CSp3_element_perfect,CSp4_element_perfect,CSpB_element_perfect,CSp_element_perfect,ChS_element_perfect,ChSpl_element_perfect,CoSp2_element_perfect,CoSpB_element_perfect,CoSp_element_perfect,Eu_element_perfect,FCCSp4_element_perfect,FCCoSp2_element_perfect,FCCoSp3_element_perfect,FCCoSp4_element_perfect,FCCoSpB_element_perfect,FCCoSp_element_perfect,FCSSp2_element_perfect,FCSSp3_element_perfect,FCSSp4_element_perfect,FCSSpB_element_perfect,FCSSp_element_perfect,FCSp2_element_perfect,FCSp3_element_perfect,FCSp4_element_perfect,FCSpB_element_perfect,FCSp_element_perfect,FCoSp2_element_perfect,FCoSp_element_perfect,FLSp2_element_perfect,FLSp3_element_perfect,FLSp4_element_perfect,FSSp2_element_perfect,FSSp3_element_perfect,FSSp4_element_perfect,FSSpB_element_perfect,FSSp_element_perfect,FSsp2_element_perfect,FUSp_element_perfect,F_element_perfect,LSp2_element_perfect,LSp3_element_perfect,LSp4_element_perfect,LSpB_element_perfect,LSp_element_perfect,Lo_element_perfect,Lz_element_perfect,SSp2_element_perfect,SSp3_element_perfect,SSp4_element_perfect,SSpB_element_perfect,SSp_element_perfect,S_element_perfect,Sp_element_perfect,StSq2_element_perfect,StSq3_element_perfect,StSq4_element_perfect,StSqB_element_perfect,StSq_element_perfect,T_element_perfect,USpB_element_perfect,W_element_perfect,color,components_score,date_end,date_start,elements_score,origin_id,overall_place,overall_total_score,place,school_id,segment_name,starting_place,title,tournament_id,unit_id,season
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,23.41,2091-03-25,2091-03-24,32.52,2.0,8,160.25,8,198,Короткая программа,8,2A/3F+3Lo</FCSp3/StSq2/3Lz/CCoSp3/LSp3,43,1,Spring
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,green,43.79,2091-02-23,2091-02-21,44.97,2.0,15,140.43,15,198,Произвольная программа,6,2A/3F+3Lo<</3Lz+3T<</2A/CCoSp2/StSq1/3S/3Lz<+1Eu+2F/3F<</FCSp3/ChSq1/LSp4,33,1,Winter
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,green,26.33,2091-01-22,2091-01-20,29.96,2.0,4,174.38,5,198,Короткая программа,9,2A/3F+3Lo/FCSp4/StSq3/1Lz*/CCoSp4/LSp4,21,1,Winter
1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,55.67,2091-01-22,2091-01-20,62.42,2.0,4,174.38,4,198,Произвольная программа,5,2A/3F+3Lo</3Lz+3T</2A/CCoSp4/StSq2/3S/3Lz+1Eu+2F/3Fq/FCSp3/ChSq1/LSp4,21,1,Winter
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,green,22.81,2091-02-23,2091-02-21,31.86,2.0,15,140.43,13,198,Короткая программа,17,2A/3F+3Lo</FCSp3/StSq2/3Lz/CCoSp4/LSp4,33,1,Winter
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,lime,33.84,2090-09-21,2090-09-20,36.03,1.0,18,186.29,11,62,Короткая программа,20,3A/3Lo/FCSp3/3Lz+3T/CCoSp4/StSq2/CSSp4,267,334,Autumn
1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lime,62.97,2091-04-13,2091-04-11,54.86,2.0,23,180.94,21,62,Произвольная программа,6,2A/4S<</3Lo/FCSp2/1F/ChSq1/3Lz+1Eu+3S/3Lz+2T/2A+3T/CSSp4/CCoSp3,47,334,Spring
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,lime,35.07,2090-10-19,2090-10-18,35.72,1.0,12,200.32,7,62,Короткая программа,19,2A/3Lo/FCSp3/3Lz+3T/CCoSp4/StSq2/CSSp3,263,334,Autumn
1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lime,68.26,2090-10-19,2090-10-18,62.27,1.0,12,200.32,15,62,Произвольная программа,28,2A/3S/3Lo/FCSp3/3F/ChSq1/3Lzq+1Eu+3S/3Lz+2A/2A+3T/CSSp4/CCoSp3,263,334,Autumn
1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,lime,32.67,2089-10-06,2089-10-05,34.4,1.0,8,199.49,10,62,Короткая программа,12,2A/3F/CCSp3/StSq2/3Lz+3T/FSSp3/CCoSp2,92,334,Autumn
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,lime,62.82,2089-09-23,2089-09-20,61.57,1.0,10,182.87,6,62,Произвольная программа,10,2A/3Lz/3F/3Lo/CCSp3/StSq3/3Lz+1Eu+3S/2A+3Tq/3S+2T/FCCoSp4/CCoSp2,95,334,Autumn
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lime,66.77,2091-10-06,2091-10-03,53.45,1.0,17,188.18,18,62,Произвольная программа,6,4S/2A+3T/3Lo/FCSp2/3F/ChSq1/3Lzq/3S/2A+1Eu+2S/CSSp4/StSq2/CCoSp4V,398,334,Autumn
